"full_name","email","department","role","sentiment_score","match_score"
"Olivia Lopez","olivia.lopez.cand@public.local","sales","Account Executive","0.38","0.53"
"Noah Lopez","noah.lopez.cand@public.local","sales","Account Executive","0.8","0.86"
"Emma Lopez","emma.lopez.cand@public.local","sales","Account Executive","0.11","0.88"
"Liam Lopez","liam.lopez.cand@public.local","sales","Account Executive","0.72","0.87"
"Sophia Lopez","sophia.lopez.cand@public.local","sales","Account Executive","0.37","0.52"
"Mason Lopez","mason.lopez.cand@public.local","sales","Account Executive","0.41","0.5"
"Isabella Lopez","isabella.lopez.cand@public.local","sales","Account Executive","0.1","0.77"
"Lucas Lopez","lucas.lopez.cand@public.local","sales","Account Executive","0.92","0.85"
"Mia Lopez","mia.lopez.cand@public.local","sales","Account Executive","0.89","1"
"Ethan Lopez","ethan.lopez.cand@public.local","sales","Account Executive","0.42","0.53"
"Amelia Lopez","amelia.lopez.cand@public.local","sales","Account Executive","0.45","0.54"
"James Lopez","james.lopez.cand@public.local","sales","Account Executive","0.11","0.81"
"Harper Lopez","harper.lopez.cand@public.local","sales","Account Executive","0.84","0.92"
"Benjamin Lopez","benjamin.lopez.cand@public.local","sales","Account Executive","0.41","0.55"
"Evelyn Lopez","evelyn.lopez.cand@public.local","sales","Account Executive","0.36","0.56"
"Elijah Lopez","elijah.lopez.cand@public.local","sales","Account Executive","0.38","0.54"
"Abigail Lopez","abigail.lopez.cand@public.local","sales","Account Executive","0.45","0.47"
"Daniel Lopez","daniel.lopez.cand@public.local","sales","Account Executive","0.78","0.99"
"Ella Lopez","ella.lopez.cand@public.local","sales","Account Executive","0.45","0.51"
"Aarav Hughes","aarav.hughes.cand@public.local","sales","Account Executive","0.76","0.89"
"Olivia Hughes","olivia.hughes.cand@public.local","sales","Account Executive","0.11","0.83"
"Noah Hughes","noah.hughes.cand@public.local","sales","Account Executive","0.38","0.55"
"Emma Hughes","emma.hughes.cand@public.local","sales","Account Executive","0.09","0.95"
"Liam Hughes","liam.hughes.cand@public.local","sales","Account Executive","0.46","0.57"
"Sophia Hughes","sophia.hughes.cand@public.local","sales","Account Executive","0.4","0.53"
"Mason Hughes","mason.hughes.cand@public.local","sales","Account Executive","0.89","0.92"
"Isabella Hughes","isabella.hughes.cand@public.local","sales","Account Executive","0.82","0.87"
"Lucas Hughes","lucas.hughes.cand@public.local","sales","Account Executive","0.4","0.49"
"Mia Hughes","mia.hughes.cand@public.local","accounting","Business Associate","0.41","0.46"
"Ethan Hughes","ethan.hughes.cand@public.local","accounting","Business Associate","0.38","0.5"
"Amelia Hughes","amelia.hughes.cand@public.local","accounting","Business Associate","0.09","0.62"
"James Hughes","james.hughes.cand@public.local","hr","HR Generalist","0.45","0.57"
"Harper Hughes","harper.hughes.cand@public.local","hr","HR Generalist","0.4","0.51"
"Benjamin Hughes","benjamin.hughes.cand@public.local","hr","HR Generalist","0.45","0.55"
"Evelyn Hughes","evelyn.hughes.cand@public.local","hr","HR Generalist","0.84","0.87"
"Elijah Hughes","elijah.hughes.cand@public.local","technical","Software Engineer","0.1","0.94"
"Abigail Hughes","abigail.hughes.cand@public.local","technical","Software Engineer","0.38","0.46"
"Daniel Hughes","daniel.hughes.cand@public.local","technical","Software Engineer","0.45","0.5"
"Ella Hughes","ella.hughes.cand@public.local","technical","Software Engineer","0.11","0.89"
"Aarav Torres","aarav.torres.cand@public.local","technical","Software Engineer","0.41","0.54"
"Olivia Torres","olivia.torres.cand@public.local","technical","Software Engineer","0.87","0.88"
"Noah Torres","noah.torres.cand@public.local","technical","Software Engineer","0.45","0.48"
"Emma Torres","emma.torres.cand@public.local","technical","Software Engineer","0.4","0.46"
"Liam Torres","liam.torres.cand@public.local","technical","Software Engineer","0.1","0.8"
"Sophia Torres","sophia.torres.cand@public.local","technical","Software Engineer","0.09","0.89"
"Mason Torres","mason.torres.cand@public.local","technical","Software Engineer","0.84","0.74"
"Isabella Torres","isabella.torres.cand@public.local","support","Customer Support Specialist","0.4","0.55"
"Lucas Torres","lucas.torres.cand@public.local","support","Customer Support Specialist","0.57","0.7"
"Mia Torres","mia.torres.cand@public.local","support","Customer Support Specialist","0.4","0.54"
"Ethan Torres","ethan.torres.cand@public.local","support","Customer Support Specialist","0.43","0.47"
"Amelia Torres","amelia.torres.cand@public.local","support","Customer Support Specialist","0.13","0.78"
"James Torres","james.torres.cand@public.local","support","Customer Support Specialist","0.44","0.55"
"Harper Torres","harper.torres.cand@public.local","support","Customer Support Specialist","0.38","0.55"
"Benjamin Torres","benjamin.torres.cand@public.local","support","Customer Support Specialist","0.39","0.54"
"Evelyn Torres","evelyn.torres.cand@public.local","support","Customer Support Specialist","0.1","0.92"
"Elijah Torres","elijah.torres.cand@public.local","support","Customer Support Specialist","0.37","0.46"
"Abigail Torres","abigail.torres.cand@public.local","support","Customer Support Specialist","0.11","0.94"
"Daniel Torres","daniel.torres.cand@public.local","technical","Software Engineer","0.1","0.81"
"Ella Torres","ella.torres.cand@public.local","technical","Software Engineer","0.38","0.54"
"Aarav Bennett","aarav.bennett.cand@public.local","technical","Software Engineer","0.85","1"
"Olivia Bennett","olivia.bennett.cand@public.local","management","Operations Manager","0.85","0.91"
"Noah Bennett","noah.bennett.cand@public.local","IT","IT Specialist","0.11","0.93"
"Emma Bennett","emma.bennett.cand@public.local","IT","IT Specialist","0.1","0.95"
"Liam Bennett","liam.bennett.cand@public.local","IT","IT Specialist","0.36","0.56"
"Sophia Bennett","sophia.bennett.cand@public.local","IT","IT Specialist","0.11","0.94"
"Mason Bennett","mason.bennett.cand@public.local","IT","IT Specialist","0.81","0.7"
"Isabella Bennett","isabella.bennett.cand@public.local","product_mng","Product Analyst","0.43","0.54"
"Lucas Bennett","lucas.bennett.cand@public.local","product_mng","Product Analyst","0.9","0.98"
"Mia Bennett","mia.bennett.cand@public.local","product_mng","Product Analyst","0.76","0.86"
"Ethan Bennett","ethan.bennett.cand@public.local","product_mng","Product Analyst","0.43","0.5"
"Amelia Bennett","amelia.bennett.cand@public.local","IT","IT Specialist","0.74","0.99"
"James Bennett","james.bennett.cand@public.local","product_mng","Product Analyst","0.09","0.77"
"Harper Bennett","harper.bennett.cand@public.local","product_mng","Product Analyst","0.45","0.49"
"Benjamin Bennett","benjamin.bennett.cand@public.local","product_mng","Product Analyst","0.09","0.87"
"Evelyn Bennett","evelyn.bennett.cand@public.local","product_mng","Product Analyst","0.11","0.97"
"Elijah Bennett","elijah.bennett.cand@public.local","product_mng","Product Analyst","0.11","0.79"
"Abigail Bennett","abigail.bennett.cand@public.local","product_mng","Product Analyst","0.1","0.83"
"Daniel Bennett","daniel.bennett.cand@public.local","marketing","Growth Marketing Specialist","0.4","0.54"
"Ella Bennett","ella.bennett.cand@public.local","sales","Account Executive","0.43","0.56"
"Aarav Ramirez","aarav.ramirez.cand@public.local","accounting","Business Associate","0.39","0.56"
"Olivia Ramirez","olivia.ramirez.cand@public.local","support","Customer Support Specialist","0.45","0.54"
"Noah Ramirez","noah.ramirez.cand@public.local","technical","Software Engineer","0.38","0.49"
"Emma Ramirez","emma.ramirez.cand@public.local","management","Operations Manager","0.79","0.59"
"Liam Ramirez","liam.ramirez.cand@public.local","marketing","Growth Marketing Specialist","0.84","0.85"
"Sophia Ramirez","sophia.ramirez.cand@public.local","marketing","Growth Marketing Specialist","0.11","0.77"
"Mason Ramirez","mason.ramirez.cand@public.local","marketing","Growth Marketing Specialist","0.11","0.87"
"Isabella Ramirez","isabella.ramirez.cand@public.local","sales","Account Executive","0.17","0.84"
"Lucas Ramirez","lucas.ramirez.cand@public.local","sales","Account Executive","0.44","0.45"
"Mia Ramirez","mia.ramirez.cand@public.local","sales","Account Executive","0.37","0.57"
"Ethan Ramirez","ethan.ramirez.cand@public.local","sales","Account Executive","0.1","0.79"
"Amelia Ramirez","amelia.ramirez.cand@public.local","sales","Account Executive","0.4","0.5"
"James Ramirez","james.ramirez.cand@public.local","sales","Account Executive","0.89","1"
"Harper Ramirez","harper.ramirez.cand@public.local","sales","Account Executive","0.42","0.48"
"Benjamin Ramirez","benjamin.ramirez.cand@public.local","sales","Account Executive","0.46","0.55"
"Evelyn Ramirez","evelyn.ramirez.cand@public.local","sales","Account Executive","0.09","0.83"
"Elijah Ramirez","elijah.ramirez.cand@public.local","sales","Account Executive","0.37","0.51"
"Abigail Ramirez","abigail.ramirez.cand@public.local","sales","Account Executive","0.1","0.77"
"Daniel Ramirez","daniel.ramirez.cand@public.local","sales","Account Executive","0.1","0.84"
"Ella Ramirez","ella.ramirez.cand@public.local","sales","Account Executive","0.11","0.97"
"Aarav Shaw","aarav.shaw.cand@public.local","sales","Account Executive","0.9","1"
"Olivia Shaw","olivia.shaw.cand@public.local","sales","Account Executive","0.38","0.52"
"Noah Shaw","noah.shaw.cand@public.local","sales","Account Executive","0.36","0.52"
"Emma Shaw","emma.shaw.cand@public.local","sales","Account Executive","0.42","0.46"
"Liam Shaw","liam.shaw.cand@public.local","sales","Account Executive","0.09","0.94"
"Sophia Shaw","sophia.shaw.cand@public.local","sales","Account Executive","0.43","0.52"
"Mason Shaw","mason.shaw.cand@public.local","accounting","Business Associate","0.24","0.46"
"Isabella Shaw","isabella.shaw.cand@public.local","accounting","Business Associate","0.91","1"
"Lucas Shaw","lucas.shaw.cand@public.local","accounting","Business Associate","0.44","0.5"
"Mia Shaw","mia.shaw.cand@public.local","hr","HR Generalist","0.71","0.87"
