"email","skill_name","level"
"olivia.parker.emp1@public.local","Negotiation","2"
"olivia.parker.emp1@public.local","Account Strategy","2"
"olivia.parker.emp1@public.local","CRM","2"
"olivia.parker.emp1@public.local","Pipeline Forecasting","3"
"noah.parker.emp2@public.local","Statistical Modeling","1"
"noah.parker.emp2@public.local","Python","3"
"noah.parker.emp2@public.local","Experimental Design","3"
"noah.parker.emp2@public.local","Data Analysis","2"
"liam.parker.emp4@public.local","Quality Control","2"
"liam.parker.emp4@public.local","Lab Operations","1"
"liam.parker.emp4@public.local","Documentation","2"
"liam.parker.emp4@public.local","Safety Compliance","2"
"sophia.parker.emp5@public.local","Statistical Modeling","1"
"sophia.parker.emp5@public.local","Python","2"
"sophia.parker.emp5@public.local","Experimental Design","1"
"sophia.parker.emp5@public.local","Data Analysis","2"
"isabella.parker.emp7@public.local","Quality Control","1"
"isabella.parker.emp7@public.local","Lab Operations","1"
"isabella.parker.emp7@public.local","Documentation","2"
"isabella.parker.emp7@public.local","Safety Compliance","1"
"lucas.parker.emp8@public.local","Quality Control","1"
"lucas.parker.emp8@public.local","Lab Operations","1"
"lucas.parker.emp8@public.local","Documentation","1"
"lucas.parker.emp8@public.local","Safety Compliance","1"
"ethan.parker.emp10@public.local","Quality Control","1"
"ethan.parker.emp10@public.local","Lab Operations","1"
"ethan.parker.emp10@public.local","Documentation","1"
"ethan.parker.emp10@public.local","Safety Compliance","1"
"amelia.parker.emp11@public.local","Quality Control","1"
"amelia.parker.emp11@public.local","Lab Operations","1"
"amelia.parker.emp11@public.local","Documentation","1"
"amelia.parker.emp11@public.local","Safety Compliance","1"
"james.parker.emp12@public.local","Lean Manufacturing","4"
"james.parker.emp12@public.local","Process Optimization","3"
"james.parker.emp12@public.local","Leadership","4"
"james.parker.emp12@public.local","Root Cause Analysis","2"
"harper.parker.emp13@public.local","Stakeholder Communication","3"
"harper.parker.emp13@public.local","Compliance","2"
"harper.parker.emp13@public.local","Client Education","3"
"harper.parker.emp13@public.local","Territory Planning","3"
"benjamin.parker.emp14@public.local","Quality Control","1"
"benjamin.parker.emp14@public.local","Lab Operations","1"
"benjamin.parker.emp14@public.local","Documentation","1"
"benjamin.parker.emp14@public.local","Safety Compliance","1"
"evelyn.parker.emp15@public.local","Quality Control","1"
"evelyn.parker.emp15@public.local","Lab Operations","2"
"evelyn.parker.emp15@public.local","Documentation","3"
"evelyn.parker.emp15@public.local","Safety Compliance","1"
"elijah.parker.emp16@public.local","Statistical Modeling","1"
"elijah.parker.emp16@public.local","Python","1"
"elijah.parker.emp16@public.local","Experimental Design","2"
"elijah.parker.emp16@public.local","Data Analysis","2"
"daniel.parker.emp18@public.local","Quality Control","1"
"daniel.parker.emp18@public.local","Lab Operations","1"
"daniel.parker.emp18@public.local","Documentation","1"
"daniel.parker.emp18@public.local","Safety Compliance","1"
"ella.parker.emp19@public.local","Quality Control","1"
"ella.parker.emp19@public.local","Lab Operations","1"
"ella.parker.emp19@public.local","Documentation","1"
"ella.parker.emp19@public.local","Safety Compliance","1"
"aarav.reed.emp20@public.local","Lean Manufacturing","3"
"aarav.reed.emp20@public.local","Process Optimization","2"
"aarav.reed.emp20@public.local","Leadership","3"
"aarav.reed.emp20@public.local","Root Cause Analysis","3"
"olivia.reed.emp21@public.local","Statistical Modeling","2"
"olivia.reed.emp21@public.local","Python","2"
"olivia.reed.emp21@public.local","Experimental Design","2"
"olivia.reed.emp21@public.local","Data Analysis","1"
"noah.reed.emp22@public.local","Quality Control","2"
"noah.reed.emp22@public.local","Lab Operations","1"
"noah.reed.emp22@public.local","Documentation","1"
"noah.reed.emp22@public.local","Safety Compliance","1"
"emma.reed.emp23@public.local","Leadership","5"
"emma.reed.emp23@public.local","Project Planning","3"
"emma.reed.emp23@public.local","Risk Management","3"
"emma.reed.emp23@public.local","People Development","5"
"liam.reed.emp24@public.local","Statistical Modeling","1"
"liam.reed.emp24@public.local","Python","1"
"liam.reed.emp24@public.local","Experimental Design","1"
"liam.reed.emp24@public.local","Data Analysis","2"
"mason.reed.emp26@public.local","Lean Manufacturing","2"
"mason.reed.emp26@public.local","Process Optimization","2"
"mason.reed.emp26@public.local","Leadership","3"
"mason.reed.emp26@public.local","Root Cause Analysis","1"
"isabella.reed.emp27@public.local","Communication","2"
"isabella.reed.emp27@public.local","Problem Solving","2"
"isabella.reed.emp27@public.local","Collaboration","1"
"isabella.reed.emp27@public.local","Execution","1"
"lucas.reed.emp28@public.local","R&D Strategy","3"
"lucas.reed.emp28@public.local","Cross-Functional Leadership","3"
"lucas.reed.emp28@public.local","Innovation Planning","2"
"lucas.reed.emp28@public.local","Budgeting","3"
"ethan.reed.emp30@public.local","Statistical Modeling","1"
"ethan.reed.emp30@public.local","Python","1"
"ethan.reed.emp30@public.local","Experimental Design","1"
"ethan.reed.emp30@public.local","Data Analysis","1"
"amelia.reed.emp31@public.local","Statistical Modeling","1"
"amelia.reed.emp31@public.local","Python","1"
"amelia.reed.emp31@public.local","Experimental Design","1"
"amelia.reed.emp31@public.local","Data Analysis","2"
"james.reed.emp32@public.local","Leadership","5"
"james.reed.emp32@public.local","Project Planning","4"
"james.reed.emp32@public.local","Risk Management","5"
"james.reed.emp32@public.local","People Development","5"
"harper.reed.emp33@public.local","Statistical Modeling","2"
"harper.reed.emp33@public.local","Python","2"
"harper.reed.emp33@public.local","Experimental Design","1"
"harper.reed.emp33@public.local","Data Analysis","2"
"evelyn.reed.emp35@public.local","Negotiation","3"
"evelyn.reed.emp35@public.local","Account Strategy","3"
"evelyn.reed.emp35@public.local","CRM","2"
"evelyn.reed.emp35@public.local","Pipeline Forecasting","1"
"elijah.reed.emp36@public.local","Stakeholder Communication","4"
"elijah.reed.emp36@public.local","Compliance","4"
"elijah.reed.emp36@public.local","Client Education","4"
"elijah.reed.emp36@public.local","Territory Planning","2"
"daniel.reed.emp38@public.local","Leadership","5"
"daniel.reed.emp38@public.local","Project Planning","4"
"daniel.reed.emp38@public.local","Risk Management","5"
"daniel.reed.emp38@public.local","People Development","4"
"ella.reed.emp39@public.local","Quality Control","1"
"ella.reed.emp39@public.local","Lab Operations","1"
"ella.reed.emp39@public.local","Documentation","1"
"ella.reed.emp39@public.local","Safety Compliance","2"
"aarav.patel.emp40@public.local","Stakeholder Communication","3"
"aarav.patel.emp40@public.local","Compliance","2"
"aarav.patel.emp40@public.local","Client Education","2"
"aarav.patel.emp40@public.local","Territory Planning","1"
"olivia.patel.emp41@public.local","Quality Control","1"
"olivia.patel.emp41@public.local","Lab Operations","1"
"olivia.patel.emp41@public.local","Documentation","1"
"olivia.patel.emp41@public.local","Safety Compliance","1"
"noah.patel.emp42@public.local","Communication","3"
"noah.patel.emp42@public.local","Problem Solving","2"
"noah.patel.emp42@public.local","Collaboration","3"
"noah.patel.emp42@public.local","Execution","2"
"sophia.patel.emp45@public.local","Statistical Modeling","2"
"sophia.patel.emp45@public.local","Python","1"
"sophia.patel.emp45@public.local","Experimental Design","1"
"sophia.patel.emp45@public.local","Data Analysis","2"
"mason.patel.emp46@public.local","Statistical Modeling","2"
"mason.patel.emp46@public.local","Python","1"
"mason.patel.emp46@public.local","Experimental Design","1"
"mason.patel.emp46@public.local","Data Analysis","1"
"isabella.patel.emp47@public.local","Communication","2"
"isabella.patel.emp47@public.local","Problem Solving","1"
"isabella.patel.emp47@public.local","Collaboration","1"
"isabella.patel.emp47@public.local","Execution","2"
"mia.patel.emp49@public.local","Communication","2"
"mia.patel.emp49@public.local","Problem Solving","1"
"mia.patel.emp49@public.local","Collaboration","1"
"mia.patel.emp49@public.local","Execution","1"
"amelia.patel.emp51@public.local","Statistical Modeling","1"
"amelia.patel.emp51@public.local","Python","2"
"amelia.patel.emp51@public.local","Experimental Design","1"
"amelia.patel.emp51@public.local","Data Analysis","1"
"james.patel.emp52@public.local","Negotiation","2"
"james.patel.emp52@public.local","Account Strategy","2"
