"full_name","email","department","role","sentiment_score","is_at_risk","retention_prob"
"Olivia Parker","olivia.parker.emp1@public.local","Sales","Sales Executive","1","true","0.5"
"Noah Parker","noah.parker.emp2@public.local","Research & Development","Research Scientist","0.5","false","0.75"
"Liam Parker","liam.parker.emp4@public.local","Research & Development","Laboratory Technician","0.75","true","1"
"Sophia Parker","sophia.parker.emp5@public.local","Research & Development","Research Scientist","0.75","false","1"
"Isabella Parker","isabella.parker.emp7@public.local","Research & Development","Laboratory Technician","0.5","false","0.25"
"Lucas Parker","lucas.parker.emp8@public.local","Research & Development","Laboratory Technician","1","false","1"
"Ethan Parker","ethan.parker.emp10@public.local","Research & Development","Laboratory Technician","0.25","false","0.75"
"Amelia Parker","amelia.parker.emp11@public.local","Research & Development","Laboratory Technician","0.75","false","1"
"James Parker","james.parker.emp12@public.local","Research & Development","Manufacturing Director","0.75","false","1"
"Harper Parker","harper.parker.emp13@public.local","Research & Development","Healthcare Representative","0.75","false","0.75"
"Benjamin Parker","benjamin.parker.emp14@public.local","Research & Development","Laboratory Technician","0.5","false","0.25"
"Evelyn Parker","evelyn.parker.emp15@public.local","Research & Development","Laboratory Technician","0.75","false","1"
"Elijah Parker","elijah.parker.emp16@public.local","Research & Development","Research Scientist","0.75","false","0.25"
"Daniel Parker","daniel.parker.emp18@public.local","Research & Development","Laboratory Technician","1","false","0.5"
"Ella Parker","ella.parker.emp19@public.local","Research & Development","Laboratory Technician","0.75","true","0.75"
"Aarav Reed","aarav.reed.emp20@public.local","Research & Development","Manufacturing Director","0.25","false","0.5"
"Olivia Reed","olivia.reed.emp21@public.local","Research & Development","Research Scientist","0.5","false","0.25"
"Noah Reed","noah.reed.emp22@public.local","Research & Development","Laboratory Technician","1","false","1"
"Emma Reed","emma.reed.emp23@public.local","Sales","Manager","1","false","0.25"
"Liam Reed","liam.reed.emp24@public.local","Research & Development","Research Scientist","1","false","1"
"Mason Reed","mason.reed.emp26@public.local","Research & Development","Manufacturing Director","0.75","false","0.25"
"Isabella Reed","isabella.reed.emp27@public.local","Sales","Sales Representative","0.25","true","0.75"
"Lucas Reed","lucas.reed.emp28@public.local","Research & Development","Research Director","0.5","false","0.25"
"Ethan Reed","ethan.reed.emp30@public.local","Research & Development","Research Scientist","1","false","0.75"
"Amelia Reed","amelia.reed.emp31@public.local","Research & Development","Research Scientist","0.25","true","0.5"
"James Reed","james.reed.emp32@public.local","Research & Development","Manager","0.75","false","0.75"
"Harper Reed","harper.reed.emp33@public.local","Research & Development","Research Scientist","0.25","true","0.5"
"Evelyn Reed","evelyn.reed.emp35@public.local","Sales","Sales Executive","0.5","false","0.75"
"Elijah Reed","elijah.reed.emp36@public.local","Research & Development","Healthcare Representative","1","false","0.25"
"Daniel Reed","daniel.reed.emp38@public.local","Sales","Manager","0.25","false","0.5"
"Ella Reed","ella.reed.emp39@public.local","Research & Development","Laboratory Technician","1","false","0.75"
"Aarav Patel","aarav.patel.emp40@public.local","Research & Development","Healthcare Representative","1","false","1"
"Olivia Patel","olivia.patel.emp41@public.local","Research & Development","Laboratory Technician","0.75","false","1"
"Noah Patel","noah.patel.emp42@public.local","Sales","Sales Representative","1","true","1"
"Sophia Patel","sophia.patel.emp45@public.local","Research & Development","Research Scientist","1","true","0.5"
"Mason Patel","mason.patel.emp46@public.local","Research & Development","Research Scientist","0.75","false","1"
"Isabella Patel","isabella.patel.emp47@public.local","Sales","Sales Representative","0.75","true","0.25"
"Mia Patel","mia.patel.emp49@public.local","Sales","Sales Representative","1","false","1"
"Amelia Patel","amelia.patel.emp51@public.local","Research & Development","Research Scientist","0.25","false","0.5"
"James Patel","james.patel.emp52@public.local","Sales","Sales Executive","0.25","false","0.75"
"Harper Patel","harper.patel.emp53@public.local","Research & Development","Laboratory Technician","1","false","0.75"
"Benjamin Patel","benjamin.patel.emp54@public.local","Research & Development","Laboratory Technician","0.25","false","1"
"Evelyn Patel","evelyn.patel.emp55@public.local","Research & Development","Laboratory Technician","0.75","true","0.25"
"Elijah Patel","elijah.patel.emp56@public.local","Sales","Sales Executive","0.75","false","1"
"Abigail Patel","abigail.patel.emp57@public.local","Research & Development","Laboratory Technician","1","false","0.75"
"Daniel Patel","daniel.patel.emp58@public.local","Research & Development","Research Director","0.75","true","0.5"
"Aarav Kim","aarav.kim.emp60@public.local","Sales","Sales Executive","0.75","false","0.5"
"Olivia Kim","olivia.kim.emp61@public.local","Research & Development","Research Scientist","0.5","false","0.5"
"Noah Kim","noah.kim.emp62@public.local","Sales","Sales Executive","1","false","0.25"
"Emma Kim","emma.kim.emp63@public.local","Research & Development","Laboratory Technician","1","false","1"
"Liam Kim","liam.kim.emp64@public.local","Research & Development","Laboratory Technician","0.75","true","0.25"
"Sophia Kim","sophia.kim.emp65@public.local","Research & Development","Laboratory Technician","0.75","true","0.75"
"Lucas Kim","lucas.kim.emp68@public.local","Sales","Sales Executive","0.25","false","0.5"
"Ethan Kim","ethan.kim.emp70@public.local","Research & Development","Healthcare Representative","0.25","false","0.75"
"James Kim","james.kim.emp72@public.local","Sales","Sales Executive","1","false","0.75"
"Harper Kim","harper.kim.emp73@public.local","Research & Development","Research Director","1","false","0.25"
"Benjamin Kim","benjamin.kim.emp74@public.local","Sales","Sales Executive","0.25","false","0.5"
"Evelyn Kim","evelyn.kim.emp75@public.local","Research & Development","Laboratory Technician","0.25","false","0.75"
"Elijah Kim","elijah.kim.emp76@public.local","Research & Development","Laboratory Technician","1","false","1"
"Abigail Kim","abigail.kim.emp77@public.local","Research & Development","Manufacturing Director","0.75","false","0.25"
"Daniel Kim","daniel.kim.emp78@public.local","Research & Development","Manufacturing Director","1","false","0.25"
"Ella Kim","ella.kim.emp79@public.local","Research & Development","Laboratory Technician","1","false","1"
"Aarav Brooks","aarav.brooks.emp80@public.local","Research & Development","Research Director","0.75","false","0.5"
"Olivia Brooks","olivia.brooks.emp81@public.local","Sales","Sales Executive","0.25","false","0.25"
"Emma Brooks","emma.brooks.emp83@public.local","Research & Development","Healthcare Representative","0.75","false","0.75"
"Liam Brooks","liam.brooks.emp84@public.local","Research & Development","Manager","0.75","false","1"
"Sophia Brooks","sophia.brooks.emp85@public.local","Research & Development","Manufacturing Director","0.5","false","0.5"
"Mason Brooks","mason.brooks.emp86@public.local","Research & Development","Research Scientist","0.25","false","0.5"
"Lucas Brooks","lucas.brooks.emp88@public.local","Research & Development","Research Scientist","0.25","false","0.5"
"Ethan Brooks","ethan.brooks.emp90@public.local","Research & Development","Research Scientist","0.75","true","1"
"Amelia Brooks","amelia.brooks.emp91@public.local","Sales","Sales Executive","0.75","false","0.25"
"Benjamin Brooks","benjamin.brooks.emp94@public.local","Research & Development","Research Scientist","0.5","false","0.75"
"Evelyn Brooks","evelyn.brooks.emp95@public.local","Research & Development","Research Scientist","0.5","false","0.75"
"Elijah Brooks","elijah.brooks.emp96@public.local","Research & Development","Research Scientist","0.5","false","0.5"
"Abigail Brooks","abigail.brooks.emp97@public.local","Research & Development","Laboratory Technician","1","false","0.5"
"Daniel Brooks","daniel.brooks.emp98@public.local","Research & Development","Manufacturing Director","1","false","0.75"
"Aarav Diaz","aarav.diaz.emp100@public.local","Sales","Sales Executive","0.25","false","0.75"
"Olivia Diaz","olivia.diaz.emp101@public.local","Research & Development","Research Director","0.25","false","1"
"Noah Diaz","noah.diaz.emp102@public.local","Research & Development","Research Director","0.75","false","0.25"
"Emma Diaz","emma.diaz.emp103@public.local","Human Resources","Human Resources","0.5","false","0.5"
"Liam Diaz","liam.diaz.emp104@public.local","Research & Development","Laboratory Technician","1","false","1"
"Sophia Diaz","sophia.diaz.emp105@public.local","Research & Development","Research Scientist","0.75","false","0.5"
"Mason Diaz","mason.diaz.emp106@public.local","Sales","Sales Executive","1","false","0.25"
"Isabella Diaz","isabella.diaz.emp107@public.local","Research & Development","Research Scientist","1","false","0.5"
"Ethan Diaz","ethan.diaz.emp110@public.local","Research & Development","Manufacturing Director","0.5","false","0.25"
"James Diaz","james.diaz.emp112@public.local","Research & Development","Manufacturing Director","1","false","1"
"Harper Diaz","harper.diaz.emp113@public.local","Sales","Sales Representative","0.25","false","0.75"
